structure_type,word_order,seed,split,perplexity,mean_surp,f1,top_ll_per_word,top_ten_neg_entropy_per_word,top_ll_per_sent,top_ten_neg_entropy_per_sent
linear-reduction,010001,3437,cc,85.7398310687436,4.451317490894314,88.30,-37.179534585744925,-0.007839165457143393,-361.49661477719917,-0.07622020573980523
no-reduction,010010,3435,cc,32.56287588010982,3.4831728627900658,99.41,-81.31585626391215,-0.004903096331246562,-1236.6921999897029,-0.07456874055376335
no-reduction,010010,3436,cc,32.295902347949834,3.474940359888335,99.31,-81.10504091513644,-0.004457060650400122,-1233.4860147578497,-0.06778520690161029
no-reduction,010010,3437,cc,32.77022155758097,3.489520223675996,99.45,-81.68944318087219,-0.004961365568273956,-1242.3738966162998,-0.07545492824509446
structure-reduction,010010,3435,cc,34.667665178309925,3.545807413278937,99.23,-47.13856760930592,-0.006293919689842543,-568.0668782597497,-0.0758480261822925
structure-reduction,010010,3436,cc,34.8785173566148,3.551871091159545,99.35,-47.481465348062166,-0.005880054500186887,-572.1991389094992,-0.07086053678175219
structure-reduction,010010,3437,cc,34.766500391423,3.5486542907218976,99.16,-47.19509646130199,-0.005221789130504586,-568.7481074551497,-0.06292778081171077
linear-reduction,010010,3435,cc,89.87335606056648,4.498401524475495,89.47,-38.22327285526079,-0.0066431866313292265,-371.6448819717002,-0.06459170361641406
linear-reduction,010010,3436,cc,89.67606819507691,4.4962039351966,88.25,-38.37301994191617,-0.007075392159063913,-373.1008728952501,-0.06879403796257841
linear-reduction,010010,3437,cc,90.09361178143834,4.50084926067379,89.20,-38.293482619006774,-0.006837375174113167,-372.3275315046,-0.06647979881790234
no-reduction,010011,3435,cc,31.845952775907346,3.4609103025438346,99.26,-79.64712584040123,-0.004802783398044236,-1211.313313343748,-0.07304313130915577
no-reduction,010011,3436,cc,33.10294241686579,3.4996221732014705,99.45,-81.46072210683195,-0.005233987291572511,-1238.8953921617478,-0.07960109572388052
no-reduction,010011,3437,cc,32.57484323892847,3.48354031068708,99.35,-80.76792717343544,-0.005092549385009257,-1228.3590204172003,-0.07745003732191329
structure-reduction,010011,3435,cc,34.67242790978144,3.5459447863705176,99.31,-46.31156647771556,-0.005633106272434643,-558.1006876229496,-0.0678845636891099
structure-reduction,010011,3436,cc,34.51830535541871,3.541489773336342,99.03,-45.81557608469836,-0.00533842703337746,-552.1235073967011,-0.06433338417923178
structure-reduction,010011,3437,cc,34.3903289443817,3.537775389515664,99.10,-46.12230706810221,-0.005958483078357819,-555.8199224777018,-0.07180567957729007
linear-reduction,010011,3435,cc,89.27515291646715,4.491723206349022,87.85,-37.57977033437737,-0.008356391648544254,-365.3881069611504,-0.0812491959987958
linear-reduction,010011,3436,cc,88.41435921051603,4.482034390960641,89.29,-37.53304112255474,-0.008627062515462892,-364.9337588346001,-0.08388092883784572
linear-reduction,010011,3437,cc,86.89974429519609,4.4647550897491355,88.44,-37.604326156247964,-0.0070770831759468435,-365.6268632172,-0.06881047971973117
no-reduction,010100,3435,cc,32.94375455869742,3.4948016999995883,99.13,-81.86997407269013,-0.005099112421773806,-1245.1195006844987,-0.07754985126654694
no-reduction,010100,3436,cc,32.33542067275578,3.476163244640921,99.37,-81.2036726166852,-0.0048538810680230126,-1234.9860549908499,-0.07382025022302799
